 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
28-Feb-16,7.2,1180,2980,2580,3526,2536,90,10.5,0.21,21.4,4.5,222,,,,,,,,,,
29-Feb-16,7.2,1009,2560,2180,3392,2343,97,11.2,0.19,24.3,2.9,237,,,,,,,,,,
1-Mar-16,7.3,710,1330,1100,2196,1169,65,11.7,0.15,15.2,3.2,279,,,,,,,,,,
2-Mar-16,7.2,752,1420,1236,2248,1242,59,13.1,     <0.15,13.4,2.0,200,,,,,,,,,,
3-Mar-16,7.3,738,1640,1360,2802,1374,68,13.0,     <0.15,17.1,5.3,208,,,,,,,,,,
4-Mar-16,7.3,482,876,752,1980,924,52,13.0,     <0.15,12.2,3.4,196,,,,,,,,,,
5-Mar-16,7.2,1400,3080,2610,3828,2566,144,14.7,0.20,36.7,8.8,214,,,,,,,,,,
6-Mar-16,7.3,303,656,560,1514,692,42,10.6,0.15,9.5,2.3,202,,,,,,,,,,
7-Mar-16,7.3,770,1710,1470,2442,1570,72,13.0,     <0.15,16.6,3.1,205,,,,,,,,,,
8-Mar-16,7.2,514,1380,1180,2062,1250,64,12.9,0.15,14.1,3.0,207,,,,,,,,,,
9-Mar-16,7.2,795,2000,1730,2634,1728,84,15.9,0.15,19.7,4.7,206,,,,,,,,,,
10-Mar-16,7.1,1140,2930,2520,3592,2490,133,18.8,0.17,31.1,7.4,189,,,,,,,,,,
11-Mar-16,7.2,983,2370,2030,2940,1966,112,16.7,0.17,25.6,6.1,187,,,,,,,,,,
12-Mar-16,7.2,      T/X,4460,3840,4650,3404,206,17.5,0.21,47.5,9.3,196,,,,,,,,,,
13-Mar-16,7.2,942,446,378,2726,1758,92,11.4,     <0.15,21.0,3.4,211,,,,,,,,,,
14-Mar-16,7.2,488,950,750,1639,784,38,5.6,0.27,9.2,1.2,397,,,,,,,,,,
15-Mar-16,7.3,480,990,800,1743,860,45,7.3,     <0.15,10.2,1.0,352,,,,,,,,,,
16-Mar-16,7.3,558,1410,1030,2050,1088,52,7.4,     <0.15,11.9,1.0,414,,,,,,,,,,
17-Mar-16,7.3,822,1710,1330,2304,1487,71,8.6,0.15,17.0,3.1,287,,,,,,,,,,
18-Mar-16,7.4,      T/X,1370,1100,2083,1156,60,10.6,     <0.15,15.3,4.0,292,,,,,,,,,,
19-Mar-16,7.2,      T/X,2830,2250,3357,2189,150,8.9,     <0.15,35.0,4.9,221,,,,,,,,,,
20-Mar-16,7.2,1591,3590,2890,4033,2797,161,10.6,0.21,37.9,4.0,176,,,,,,,,,,
21-Mar-16,7.3,927,2230,1800,2910,1852,123,12.6,     <0.15,30.4,5.9,196,,,,,,,,,,
22-Mar-16,7.6,1163,3150,2590,3732,2534,132,13.9,     <0.15,33.6,6.1,204,,,,,,,,,,
