 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
4-Sep-16,7.5,      T/X,138,112,708,200,21,12.2,     <0.15,5.52,3.64,244,,,,,,,,,,
5-Sep-16,7.5,      T/X,220,176,812,304,23,13.0,     <0.15,6.04,3.25,221,,,,,,,,,,
6-Sep-16,7.5,153,164,124,758,250,24,14.2,     <0.15,5.00,2.75,224,,,,,,,,,,
7-Sep-16,7.4,154,210,168,814,256,24,14.3,     <0.15,4.33,1.05,252,,,,,,,,,,
8-Sep-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,313,,,,,,,,,,
9-Sep-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,274,,,,,,,,,,
10-Sep-16,7.6,100,132,100,630,186,17,9.9,     <0.15,3.51,1.78,267,,,,,,,,,,
11-Sep-16,7.6,      T/X,84,64,638,178,16,10.6,     <0.15,2.77,1.55,252,,,,,,,,,,
12-Sep-16,7.5,      T/X,132,92,690,226,20,13.0,     <0.15,4.39,2.61,235,,,,,,,,,,
13-Sep-16,7.4,      T/X,188,142,746,236,23,14.0,     <0.15,4.29,1.94,204,,,,,,,,,,
14-Sep-16,7.4,      T/X,360,288,1000,420,28,15.0,     <0.15,5.72,2.55,167,,,,,,,,,,
15-Sep-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,147,,,,,,,,,,
16-Sep-16,7.5,235,372,288,1070,408,38,21.0,     <0.15,7.93,4.43,140,,,,,,,,,,
17-Sep-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,144,,,,,,,,,,
18-Sep-16,7.6,497,392,352,2093,1297,52,17.3,0.15,9.05,3.17,139,,,,,,,,,,
19-Sep-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,130,,,,,,,,,,
20-Sep-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,136,,,,,,,,,,
21-Sep-16,7.2,      T/X,380,210,978,342,27,11.9,0.15,7.32,3.93,158,,,,,,,,,,
22-Sep-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,168,,,,,,,,,,
23-Sep-16,7.7,176,246,208,954,398,31,17.7,     <0.15,6.65,3.90,170,,,,,,,,,,
24-Sep-16,7.5,      T/X,254,210,896,338,29,17.7,     <0.15,6.61,3.95,166,,,,,,,,,,
25-Sep-16,7.5,316,680,450,1354,666,42,18.6,     <0.15,7.87,2.67,169,,,,,,,,,,
26-Sep-16,7.4,156,240,130,790,268,28,18.3,     <0.15,5.73,3.18,148,,,,,,,,,,
27-Sep-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,134,,,,,,,,,,
28-Sep-16,7.4,246,480,300,1081,484,36,15.3,     <0.15,9.09,4.28,176,,,,,,,,,,
29-Sep-16,7.5,163,240,150,710,244,25,11.9,     <0.15,6.01,2.50,274,,,,,,,,,,
30-Sep-16,7.5,184,384,300,872,382,28,12.7,     <0.15,6.42,2.30,213,,,,,,,,,,
1-Oct-16,7.5,127,260,110,716,238,19,9.3,     <0.15,3.90,1.28,318,,,,,,,,,,
2-Oct-16,7.7,79,170,70,644,174,14,6.7,0.73,2.50,0.66,318,,,,,,,,,,
3-Oct-16,7.6,      T/X,216,152,786,250,20,9.7,     <0.15,4.44,1.48,275,,,,,,,,,,
4-Oct-16,7.6,96,120,80,742,200,18,11.0,     <0.15,4.14,2.30,245,,,,,,,,,,
5-Oct-16,7.6,      T/X,162,128,768,238,22,12.8,     <0.15,5.61,3.20,246,,,,,,,,,,
6-Oct-16,7.3,133,276,184,684,312,16,6.8,0.45,5.28,1.58,263,,,,,,,,,,
7-Oct-16,7.6,121,130,84,844,290,19,8.5,0.31,5.68,2.67,386,,,,,,,,,,
8-Oct-16,7.6,100,158,122,794,232,19,10.0,     <0.15,5.65,3.32,249,,,,,,,,,,
9-Oct-16,7.5,      T/X,110,80,716,182,18,10.4,     <0.15,3.80,2.15,244,,,,,,,,,,
10-Oct-16,7.5,153,300,224,898,310,27,12.4,     <0.15,5.85,2.34,232,,,,,,,,,,
11-Oct-16,7.4,      T/X,170,140,772,232,23,12.8,     <0.15,5.43,3.19,250,,,,,,,,,,
12-Oct-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,276,,,,,,,,,,
13-Oct-16,7.6,      T/X,148,102,720,218,19,12.2,0.16,4.86,3.08,315,,,,,,,,,,
14-Oct-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,306,,,,,,,,,,
15-Oct-16,7.5,      T/X,164,118,750,186,21,13.3,     <0.15,3.66,1.70,260,,,,,,,,,,
16-Oct-16,7.4,105,250,150,586,148,21,12.9,     <0.15,4.63,1.82,218,,,,,,,,,,
17-Oct-16,7.6,      T/X,116,76,680,176,18,11.3,     <0.15,4.41,2.42,295,,,,,,,,,,
18-Oct-16,7.5,      T/X,106,76,742,182,20,15.0,     <0.15,4.17,2.29,243,,,,,,,,,,
19-Oct-16,7.5,      T/X,78,54,696,84,20,14.9,     <0.15,4.64,3.15,212,,,,,,,,,,
20-Oct-16,7.4,      T/X,90,68,676,78,22,14.9,     <0.15,8.20,6.45,251,,,,,,,,,,
21-Oct-16,7.6,      T/X,76,64,778,188,24,16.9,     <0.15,4.24,2.65,198,,,,,,,,,,
22-Oct-16,7.5,      T/X,100,84,806,202,23,16.8,     <0.15,7.90,6.10,184,,,,,,,,,,
23-Oct-16,7.5,      T/X,92,80,750,200,24,16.3,     <0.15,4.26,2.59,163,,,,,,,,,,
24-Oct-16,7.5,      T/X,76,56,762,208,24,17.8,     <0.15,4.17,2.65,152,,,,,,,,,,
25-Oct-16,7.5,      T/X,96,68,832,228,26,18.3,     <0.15,6.45,4.71,167,,,,,,,,,,
26-Oct-16,7.3,      T/X,170,110,740,250,21,12.5,     <0.15,7.56,5.19,145,,,,,,,,,,
27-Oct-16,7.5,      T/X,128,84,630,192,13,7.4,0.41,2.89,1.02,285,,,,,,,,,,
28-Oct-16,7.5,      T/X,112,78,676,176,15,9.1,     <0.15,3.11,1.57,306,,,,,,,,,,
29-Oct-16,7.6,      T/X,100,78,758,202,17,11.4,     <0.15,2.86,1.49,259,,,,,,,,,,
30-Oct-16,7.6,111,128,94,714,214,17,10.7,     <0.15,3.09,1.31,208,,,,,,,,,,
31-Oct-16,7.6,      T/X,96,68,736,160,20,14.1,     <0.15,3.51,2.00,277,,,,,,,,,,
1-Nov-16,7.5,86,104,82,800,198,24,15.6,     <0.15,6.03,4.17,183,,,,,,,,,,
2-Nov-16,7.4,112,108,76,770,178,25,16.2,     <0.15,6.18,4.19,251,,,,,,,,,,
3-Nov-16,7.6,      T/X,88,56,610,182,17,11.7,     <0.15,3.58,1.83,300,,,,,,,,,,
4-Nov-16,7.5,      T/X,52,46,736,178,17,11.6,     <0.15,4.27,2.71,242,,,,,,,,,,
5-Nov-16,7.7,73,62,50,764,174,18,11.9,     <0.15,3.88,2.41,184,,,,,,,,,,
6-Nov-16,7.5,64,58,44,708,188,18,12.3,     <0.15,3.21,1.95,180,,,,,,,,,,
7-Nov-16,7.5,92,82,70,784,230,23,16.1,     <0.15,3.99,2.43,175,,,,,,,,,,
8-Nov-16,7.4,93,100,72,790,216,22,14.2,     <0.15,4.01,2.19,169,,,,,,,,,,
9-Nov-16,7.5,      T/X,72,48,684,162,20,14.1,     <0.15,3.07,1.58,174,,,,,,,,,,
10-Nov-16,7.4,114,90,68,820,182,27,16.6,     <0.15,6.07,3.99,158,,,,,,,,,,
11-Nov-16,7.5,162,118,92,864,206,29,18.1,     <0.15,6.22,4.49,157,,,,,,,,,,
12-Nov-16,7.7,131,96,76,856,218,27,16.9,     <0.15,8.52,6.39,166,,,,,,,,,,
13-Nov-16,7.6,      T/X,116,60,748,176,27,16.4,     <0.15,4.39,3.03,153,,,,,,,,,,
14-Nov-16,7.5,      T/X,120,92,822,220,25,16.9,     <0.15,4.30,2.50,161,,,,,,,,,,
15-Nov-16,7.8,      T/X,176,132,850,286,28,16.8,     <0.15,7.06,4.83,140,,,,,,,,,,
16-Nov-16,7.5,      T/X,102,82,816,230,29,18.5,     <0.15,6.45,4.53,149,,,,,,,,,,
17-Nov-16,7.5,      T/X,196,140,878,256,33,18.4,     <0.15,10.11,7.25,152,,,,,,,,,,
18-Nov-16,7.5,190,166,128,858,256,32,18.6,     <0.15,7.47,4.91,157,,,,,,,,,,
19-Nov-16,7.7,126,140,116,848,254,31,18.8,     <0.15,5.95,3.86,132,,,,,,,,,,
20-Nov-16,7.7,88,104,82,728,216,26,17.6,     <0.15,5.19,3.69,146,,,,,,,,,,
21-Nov-16,7.6,102,84,60,754,222,28,19.5,     <0.15,4.87,2.99,149,,,,,,,,,,
22-Nov-16,7.4,160,150,122,848,260,28,17.9,     <0.15,6.46,4.08,145,,,,,,,,,,
23-Nov-16,7.4,174,178,126,756,276,24,14.5,     <0.15,5.22,3.28,181,,,,,,,,,,
24-Nov-16,7.4,148,100,84,778,264,22,13.6,     <0.15,8.31,6.14,136,,,,,,,,,,
25-Nov-16,7.6,110,114,90,758,234,25,17.2,     <0.15,4.51,2.92,134,,,,,,,,,,
26-Nov-16,7.5,109,132,106,776,238,25,18.4,     <0.15,4.21,2.70,133,,,,,,,,,,
27-Nov-16,7.5,113,108,84,736,206,24,16.0,0.23,3.74,2.88,131,,,,,,,,,,
28-Nov-16,7.4,134,184,132,666,222,19,10.9,     <0.15,6.95,4.75,254,,,,,,,,,,
29-Nov-16,7.6,60,96,60,508,116,12,7.0,1.09,2.67,1.36,268,,,,,,,,,,
30-Nov-16,7.7,76,58,38,694,176,15,9.9,0.36,2.22,0.94,227,,,,,,,,,,
1-Dec-16,7.6,69,64,46,678,146,16,10.2,     <0.15,2.70,1.60,253,,,,,,,,,,
2-Dec-16,7.6,73,78,56,680,170,15,11.1,     <0.15,2.45,1.18,249,,,,,,,,,,
3-Dec-16,7.5,101,36,30,650,152,18,12.0,     <0.15,3.11,1.60,219,,,,,,,,,,
4-Dec-16,7.3,89,56,54,720,222,19,12.4,     <0.15,4.77,3.58,224,,,,,,,,,,
5-Dec-16,7.5,92,82,66,1089,192,19,12.0,     <0.15,3.45,1.90,271,,,,,,,,,,
6-Dec-16,7.5,125,130,94,876,216,21,10.9,     <0.15,5.23,2.93,237,,,,,,,,,,
7-Dec-16,7.6,143,160,122,874,240,22,11.0,     <0.15,4.88,2.38,257,,,,,,,,,,
8-Dec-16,7.5,179,228,176,1007,350,28,11.7,0.17,6.67,2.74,215,,,,,,,,,,
9-Dec-16,7.5,135,120,104,834,200,23,12.7,     <0.15,3.97,2.18,161,,,,,,,,,,
10-Dec-16,7.4,135,80,48,848,204,22,13.7,     <0.15,9.60,7.84,153,,,,,,,,,,
11-Dec-16,7.6,      T/X,104,76,1068,206,22,14.3,     <0.15,3.37,1.74,157,,,,,,,,,,
12-Dec-16,7.5,183,280,216,1956,362,32,15.3,     <0.15,6.02,2.48,167,,,,,,,,,,
13-Dec-16,7.5,159,156,112,1224,290,26,14.2,     <0.15,5.00,2.33,164,,,,,,,,,,
14-Dec-16,7.4,139,74,54,1005,228,23,15.5,     <0.15,4.36,2.71,146,,,,,,,,,,
15-Dec-16,7.6,152,142,118,942,246,26,15.7,     <0.15,7.51,4.56,145,,,,,,,,,,
16-Dec-16,7.4,102,59,47,818,186,22,14.9,     <0.15,4.01,3.13,148,,,,,,,,,,
17-Dec-16,7.4,143,128,108,1044,250,25,15.1,     <0.15,8.18,5.80,143,,,,,,,,,,
18-Dec-16,7.5,132,120,108,1252,232,24,15.7,     <0.15,6.02,4.22,139,,,,,,,,,,
19-Dec-16,7.6,104,104,84,974,196,24,15.8,     <0.15,4.46,2.76,138,,,,,,,,,,
20-Dec-16,7.4,157,152,120,966,248,24,15.5,     <0.15,8.20,6.06,159,,,,,,,,,,
21-Dec-16,7.4,136,134,104,986,284,25,15.2,     <0.15,5.80,3.67,182,,,,,,,,,,
22-Dec-16,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,       S/X,       S/X,       S/X,274,,,,,,,,,,
23-Dec-16,7.6,127,126,104,1002,210,24,16.1,     <0.15,5.38,3.60,263,,,,,,,,,,
24-Dec-16,7.5,      T/X,106,82,1153,218,24,14.8,     <0.15,4.33,2.69,225,,,,,,,,,,
25-Dec-16,7.5,97,100,86,990,208,22,14.2,     <0.15,3.91,2.42,219,,,,,,,,,,
26-Dec-16,7.6,261,308,228,1302,332,20,9.6,0.67,3.48,1.11,352,,,,,,,,,,
27-Dec-16,7.6,89,72,54,1041,210,15,7.8,1.10,3.77,2.06,279,,,,,,,,,,
28-Dec-16,7.6,175,196,148,1090,222,24,9.5,     <0.15,6.06,2.93,222,,,,,,,,,,
29-Dec-16,7.5,107,126,86,992,234,20,12.0,     <0.15,5.07,3.57,199,,,,,,,,,,
30-Dec-16,7.5,114,84,68,916,208,21,13.6,0.18,6.22,4.68,192,,,,,,,,,,
31-Dec-16,7.6,115,82,60,912,200,22,13.6,     <0.15,3.75,2.30,203,,,,,,,,,,
1-Jan-15,7.6,94,100,84,772,210,24,15.8,     <0.15,5.5,3.9,179,,,,,,,,,,
2-Jan-15,7.6,84,82,60,760,194,24,16.0,     <0.15,4.6,3.0,190,,,,,,,,,,
3-Jan-15,7.5,109,148,106,976,200,21,12.5,     <0.15,5.3,3.4,286,,,,,,,,,,
4-Jan-15,7.4,86,148,104,1152,170,15,8.4,0.58,3.8,1.9,298,,,,,,,,,,
5-Jan-15,7.5,74,66,56,1018,150,18,11.4,1.22,2.5,1.2,228,,,,,,,,,,
6-Jan-15,7.4,84,72,62,918,174,19,12.2,     <0.15,4.0,2.5,207,,,,,,,,,,
7-Jan-15,7.3,130,134,114,1018,212,23,12.9,0.24,6.1,4.3,173,,,,,,,,,,
8-Jan-15,7.4,109,112,82,822,216,23,14.7,0.41,4.0,2.5,170,,,,,,,,,,
9-Jan-15,7.6,118,96,82,970,218,21,13.6,0.25,5.1,3.6,154,,,,,,,,,,
10-Jan-15,7.5,113,78,66,900,216,22,14.2,     <0.15,4.3,2.9,175,,,,,,,,,,
11-Jan-15,7.5,88,76,62,876,212,22,14.3,     <0.15,3.8,2.4,177,,,,,,,,,,
12-Jan-15,7.3,207,124,100,1346,326,33,16.7,     <0.15,8.2,5.1,174,,,,,,,,,,
13-Jan-15,7.4,227,204,166,1334,300,34,18.2,0.17,12.9,9.4,168,,,,,,,,,,
14-Jan-15,7.4,103,96,82,958,186,27,16.9,0.27,5.7,3.4,171,,,,,,,,,,
15-Jan-15,7.4,159,196,192,926,260,24,14.9,     <0.15,5.5,3.3,160,,,,,,,,,,
16-Jan-15,7.3,426,304,240,1121,388,46,20.2,     <0.15,13.3,6.5,174,,,,,,,,,,
17-Jan-15,7.5,140,136,114,1088,234,25,14.3,     <0.15,6.0,3.6,190,,,,,,,,,,
18-Jan-15,7.5,128,114,96,1123,240,23,12.5,     <0.15,4.4,2.7,220,,,,,,,,,,
19-Jan-15,7.5,73,64,53,1007,182,20,13.8,     <0.15,3.5,2.3,213,,,,,,,,,,
20-Jan-15,7.4,139,100,85,1019,238,23,14.7,     <0.15,7.6,5.6,208,,,,,,,,,,
21-Jan-15,7.2,183,178,150,1074,280,26,14.8,0.20,10.6,8.1,169,,,,,,,,,,
22-Jan-15,7.3,163,148,114,998,242,26,15.2,     <0.15,10.1,7.4,207,,,,,,,,,,
23-Jan-15,7.2,460,318,246,1247,488,31,14.8,     <0.15,12.3,8.4,182,,,,,,,,,,
24-Jan-15,7.3,147,98,74,924,250,22,13.9,     <0.15,9.9,8.0,183,,,,,,,,,,
25-Jan-15,7.4,80,85,71,888,198,20,14.5,     <0.15,3.5,2.0,193,,,,,,,,,,
26-Jan-15,7.5,73,86,70,976,170,19,13.5,0.28,3.0,1.4,191,,,,,,,,,,
27-Jan-15,7.4,80,86,74,1114,204,22,14.5,     <0.15,4.4,3.0,189,,,,,,,,,,
28-Jan-15,7.4,180,184,166,1093,248,34,18.6,     <0.15,7.5,4.8,183,,,,,,,,,,
29-Jan-15,7.3,210,28,26,1125,316,32,16.8,     <0.15,11.9,8.9,184,,,,,,,,,,
30-Jan-15,7.4,164,200,190,970,230,23,15.4,     <0.15,6.4,4.6,199,,,,,,,,,,
31-Jan-15,7.6,97,82,74,870,158,24,16.0,     <0.15,4.5,2.4,199,,,,,,,,,,
1-Feb-15,7.4,112,114,94,1422,210,25,15.1,     <0.15,3.8,1.9,202,,,,,,,,,,
2-Feb-15,7.5,81,128,114,1653,222,23,14.2,     <0.15,3.5,1.7,188,,,,,,,,,,
3-Feb-15,7.4,110,92,76,1503,188,25,14.8,0.15,7.0,4.8,187,,,,,,,,,,
4-Feb-15,7.2,148,112,92,1604,210,26,15.7,     <0.15,6.2,3.9,190,,,,,,,,,,
5-Feb-15,7.2,109,88,70,1480,206,23,15.4,     <0.15,5.2,3.5,185,,,,,,,,,,
6-Feb-15,7.4,185,202,170,1237,268,31,15.4,     <0.15,6.2,3.1,184,,,,,,,,,,
7-Feb-15,7.3,197,210,176,1384,300,32,15.1,     <0.15,7.6,4.1,220,,,,,,,,,,
8-Feb-15,7.2,122,141,111,1652,232,21,12.1,     <0.15,3.7,2.2,282,,,,,,,,,,
9-Feb-15,7.4,130,300,256,1668,434,34,11.9,0.58,3.8,1.4,266,,,,,,,,,,
10-Feb-15,7.4,86,82,80,1229,230,20,12.6,0.15,3.7,2.3,264,,,,,,,,,,
11-Feb-15,7.3,111,100,82,1186,238,21,12.1,     <0.15,4.7,2.9,224,,,,,,,,,,
12-Feb-15,7.4,87,85,69,1084,212,21,12.6,     <0.15,4.1,2.5,198,,,,,,,,,,
13-Feb-15,7.4,100,116,98,1040,230,21,14.9,     <0.15,4.5,2.4,196,,,,,,,,,,
14-Feb-15,7.5,85,88,76,966,198,22,15.5,0.25,4.4,2.4,196,,,,,,,,,,
15-Feb-15,7.6,79,104,92,918,198,22,15.8,0.44,3.8,1.9,195,,,,,,,,,,
16-Feb-15,7.4,108,106,84,896,202,23,14.7,0.69,4.1,2.4,181,,,,,,,,,,
17-Feb-15,7.3,96,108,87,922,210,24,14.6,0.94,5.4,3.6,183,,,,,,,,,,
18-Feb-15,7.3,142,122,102,954,208,26,16.5,0.15,7.3,5.3,205,,,,,,,,,,
19-Feb-15,7.3,113,116,91,864,212,25,15.4,0.22,5.4,3.6,185,,,,,,,,,,
20-Feb-15,7.5,120,66,56,858,196,24,14.5,     <0.15,6.9,4.9,171,,,,,,,,,,
21-Feb-15,7.5,167,146,112,856,226,27,15.2,     <0.15,6.2,3.9,192,,,,,,,,,,
22-Feb-15,7.4,149,143,119,832,198,26,13.9,0.18,4.9,2.6,169,,,,,,,,,,
23-Feb-15,7.3,106,116,96,814,198,25,15.6,     <0.15,4.3,2.6,171,,,,,,,,,,
24-Feb-15,7.4,190,176,150,926,288,31,13.6,0.42,7.8,4.6,171,,,,,,,,,,
25-Feb-15,7.4,      T/X,154,136,812,218,26,15.3,     <0.15,5.6,3.5,160,,,,,,,,,,
26-Feb-15,7.3,147,126,110,1397,228,28,15.0,0.15,9.6,7.4,167,,,,,,,,,,
27-Feb-15,7.4,180,104,82,1456,212,27,17.5,     <0.15,11.2,8.7,145,,,,,,,,,,
28-Feb-15,7.4,130,122,94,1078,224,25,16.1,0.15,7.8,5.3,164,,,,,,,,,,
1-Mar-15,7.4,      T/X,110,98,994,204,24,16.6,     <0.15,4.5,2.7,181,,,,,,,,,,
2-Mar-15,7.4,123,120,98,968,216,24,14.2,0.35,4.4,2.5,148,,,,,,,,,,
3-Mar-15,7.3,128,152,114,1305,220,28,15.9,0.16,8.7,6.0,182,,,,,,,,,,
4-Mar-15,7.4,153,190,142,1535,244,31,17.7,     <0.15,7.2,4.7,180,,,,,,,,,,
5-Mar-15,7.3,239,310,248,1234,328,39,17.8,0.16,10.1,5.4,148,,,,,,,,,,
6-Mar-15,7.6,187,176,134,1018,254,30,17.3,0.19,10.1,7.1,153,,,,,,,,,,
7-Mar-15,7.5,193,208,158,1188,328,26,14.7,     <0.15,8.8,6.0,183,,,,,,,,,,
8-Mar-15,7.4,127,232,186,1213,300,25,14.3,0.15,4.6,2.4,219,,,,,,,,,,
9-Mar-15,7.4,134,182,152,1156,252,25,15.2,0.72,4.5,2.6,258,,,,,,,,,,
10-Mar-15,7.4,119,200,146,1209,242,27,14.4,1.03,5.5,3.0,323,,,,,,,,,,
11-Mar-15,7.4,89,120,87,1202,244,20,11.5,0.87,3.8,2.1,323,,,,,,,,,,
12-Mar-15,7.5,72,92,66,1120,192,19,11.3,0.92,3.5,1.9,315,,,,,,,,,,
13-Mar-15,7.7,82,108,66,1104,270,18,10.8,0.78,3.4,1.8,286,,,,,,,,,,
14-Mar-15,7.6,143,54,44,1026,192,19,10.3,0.55,6.9,4.7,265,,,,,,,,,,
15-Mar-15,7.5,      T/X,56,45,1024,216,17,10.2,0.45,3.2,1.6,255,,,,,,,,,,
16-Mar-15,7.6,80,79,64,1019,220,20,12.8,0.83,3.8,2.2,235,,,,,,,,,,
17-Mar-15,7.4,80,82,66,1046,218,22,14.4,0.64,4.0,2.4,220,,,,,,,,,,
18-Mar-15,7.4,114,78,64,974,212,21,12.7,0.19,4.4,2.8,206,,,,,,,,,,
19-Mar-15,7.3,132,98,82,1020,242,22,12.7,     <0.15,5.6,4.0,197,,,,,,,,,,
20-Mar-15,7.5,109,94,82,956,202,20,12.7,     <0.15,4.2,2.5,201,,,,,,,,,,
21-Mar-15,7.6,112,103,86,964,224,21,12.9,     <0.15,6.2,4.5,187,,,,,,,,,,
22-Mar-15,7.5,88,93,84,882,202,20,12.9,0.16,3.4,2.2,193,,,,,,,,,,
23-Mar-15,7.4,147,122,102,1198,222,23,12.6,0.19,7.7,4.5,198,,,,,,,,,,
24-Mar-15,7.3,118,102,86,1504,226,20,12.9,     <0.15,5.9,4.4,226,,,,,,,,,,
25-Mar-15,7.3,120,128,88,1177,162,21,10.5,     <0.15,4.6,2.1,297,,,,,,,,,,
26-Mar-15,7.4,84,188,150,1208,238,22,11.8,     <0.15,4.3,2.3,247,,,,,,,,,,
27-Mar-15,7.5,108,95,77,1088,194,20,12.0,     <0.15,3.7,2.1,227,,,,,,,,,,
28-Mar-15,7.5,81,70,62,1022,210,19,11.9,     <0.15,4.2,2.6,203,,,,,,,,,,
29-Mar-15,7.4,79,74,59,960,182,18,12.8,     <0.15,2.9,1.7,216,,,,,,,,,,
30-Mar-15,7.5,82,82,72,964,174,17,11.2,     <0.15,3.1,1.7,183,,,,,,,,,,
31-Mar-15,7.4,102,101,82,1056,228,24,15.0,     <0.15,4.7,3.1,188,,,,,,,,,,
1-Apr-15,7.4,91,88,73,988,194,23,15.0,     <0.15,6.0,4.1,207,,,,,,,,,,
2-Apr-15,7.5,167,180,134,1088,256,25,13.9,     <0.15,6.0,3.6,259,,,,,,,,,,
3-Apr-15,7.5,114,132,96,1078,218,21,12.6,     <0.15,6.7,4.0,222,,,,,,,,,,
4-Apr-15,7.6,95,78,60,960,192,19,13.0,     <0.15,3.8,2.3,206,,,,,,,,,,
5-Apr-15,7.8,68,50,47,874,170,18,13.1,0.21,2.6,1.4,202,,,,,,,,,,
6-Apr-15,7.5,      T/X,64,50,888,198,19,13.4,     <0.15,3.1,1.8,188,,,,,,,,,,
7-Apr-15,7.4,111,122,92,1002,196,21,12.5,     <0.15,3.7,2.1,227,,,,,,,,,,
8-Apr-15,7.4,110,130,100,950,230,21,12.8,     <0.15,3.8,2.1,178,,,,,,,,,,
9-Apr-15,7.3,      T/X,104,74,922,182,18,10.5,     <0.15,5.4,3.8,291,,,,,,,,,,
10-Apr-15,7.5,      T/X,110,92,798,164,13,7.3,0.66,2.2,1.3,381,,,,,,,,,,
11-Apr-15,7.6,98,116,86,914,208,14,8.3,0.68,3.5,2.1,339,,,,,,,,,,
12-Apr-15,7.3,70,96,72,876,180,14,7.8,0.19,2.3,1.0,315,,,,,,,,,,
13-Apr-15,7.5,74,154,90,834,156,15,9.0,     <0.15,4.1,2.4,333,,,,,,,,,,
14-Apr-15,7.5,      T/X,156,106,990,228,21,12.2,0.15,7.1,4.5,254,,,,,,,,,,
15-Apr-15,7.5,84,108,84,1038,218,21,12.9,0.24,5.0,2.9,236,,,,,,,,,,
16-Apr-15,7.4,120,162,142,1098,264,23,12.9,     <0.15,7.3,4.8,223,,,,,,,,,,
17-Apr-15,7.5,157,148,100,1029,258,23,12.4,     <0.15,8.7,6.1,216,,,,,,,,,,
18-Apr-15,7.6,134,104,78,952,178,19,11.1,     <0.15,4.6,2.5,214,,,,,,,,,,
19-Apr-15,7.6,64,76,74,888,186,17,10.6,     <0.15,2.9,1.9,253,,,,,,,,,,
20-Apr-15,7.5,83,108,100,844,186,16,9.4,0.17,2.6,1.1,318,,,,,,,,,,
21-Apr-15,7.5,93,94,72,958,194,18,11.1,     <0.15,5.4,3.8,228,,,,,,,,,,
22-Apr-15,7.4,92,94,74,952,208,20,12.7,     <0.15,5.5,4.0,207,,,,,,,,,,
23-Apr-15,7.5,96,100,78,906,184,21,12.4,     <0.15,4.6,2.9,189,,,,,,,,,,
24-Apr-15,7.4,163,52,40,924,174,24,11.7,     <0.15,9.4,7.1,189,,,,,,,,,,
25-Apr-15,7.5,105,86,68,856,172,17,9.3,     <0.15,9.8,7.6,333,,,,,,,,,,
26-Apr-15,7.4,      T/X,82,56,906,190,14,5.6,0.66,16.4,14.4,306,,,,,,,,,,
27-Apr-15,7.6,69,72,50,856,172,15,9.9,0.43,2.0,0.8,295,,,,,,,,,,
28-Apr-15,7.6,71,78,60,892,174,19,12.2,     <0.15,4.3,3.0,277,,,,,,,,,,
29-Apr-15,7.3,142,172,128,1066,280,21,10.7,     <0.15,9.0,6.7,234,,,,,,,,,,
30-Apr-15,7.3,170,204,164,1175,334,25,11.7,     <0.15,9.6,6.8,206,,,,,,,,,,
1-May-15,7.6,85,44,34,874,194,22,15.0,     <0.15,3.9,2.3,195,,,,,,,,,,
2-May-15,7.5,98,80,68,926,196,20,11.9,     <0.15,6.8,5.8,198,,,,,,,,,,
3-May-15,7.5,76,100,78,856,208,19,11.2,     <0.15,3.6,1.5,215,,,,,,,,,,
4-May-15,7.5,140,228,156,998,282,26,12.5,     <0.15,5.0,2.3,207,,,,,,,,,,
5-May-15,7.4,138,308,200,918,306,23,9.6,     <0.15,5.8,2.8,341,,,,,,,,,,
6-May-15,7.4,115,238,184,838,254,17,8.7,0.39,3.8,1.8,337,,,,,,,,,,
7-May-15,7.5,      T/X,106,66,858,232,13,6.6,1.56,3.4,1.9,266,,,,,,,,,,
8-May-15,7.4,120,105,82,936,212,18,10.3,     <0.15,6.6,4.8,264,,,,,,,,,,
9-May-15,7.7,      T/X,78,56,826,182,14,8.4,0.29,2.6,1.3,377,,,,,,,,,,
10-May-15,7.6,62,100,74,774,164,12,7.2,0.44,1.9,0.8,358,,,,,,,,,,
11-May-15,7.5,72,90,68,792,130,13,7.1,0.35,4.9,3.1,356,,,,,,,,,,
12-May-15,7.5,97,118,104,952,240,14,6.6,     <0.15,6.8,4.8,321,,,,,,,,,,
13-May-15,7.6,      T/X,86,52,944,220,16,10.5,2.64,4.0,2.2,249,,,,,,,,,,
