Date,FLOW,pH,BOD5,TS,SS,TKN,NH3-N,NO2+NO3,P-TOT,P-SOL,,,,,,
15-Nov-16,21.7,7.3,158,844,132,33,20.7,2.35,6.41,4.16,,,,,,
16-Nov-16,18.3,7.2,228,846,218,45,28.4,    <0.15,8.15,      N/S,,,,,,
17-Nov-16,22.3,7.3,239,842,246,45,27.8,    <0.15,8.12,      N/S,,,,,,
18-Nov-16,21.2,7.2,177,762,162,33,21.2,0.55,6.71,      N/S,,,,,,
19-Nov-16,18.7,7.3,191,776,154,38,25.7,    <0.15,7.08,      N/S,,,,,,
20-Nov-16,20.1,7.1,170,722,124,33,23.5,    <0.15,6.25,      N/S,,,,,,
21-Nov-16,19.2,7.2,158,742,116,39,27.1,    <0.15,6.84,      N/S,,,,,,
22-Nov-16,20.6,7.2,212,790,188,38,22.1,1.63,7.96,4.70,,,,,,
23-Nov-16,20.7,7.3,230,840,238,39,22.5,0.40,7.29,      N/S,,,,,,
24-Nov-16,22.0,7.2,202,798,176,34,22.5,    <0.15,6.14,      N/S,,,,,,
25-Nov-16,15.8,7.2,181,720,124,34,26.2,    <0.15,5.48,      N/S,,,,,,
26-Nov-16,20.2,7.2,220,926,196,40,28.4,    <0.15,6.96,      N/S,,,,,,
27-Nov-16,22.0,7.2,137,752,108,28,19.5,2.06,5.89,      N/S,,,,,,
28-Nov-16,27.4,7.2,222,840,250,40,24.2,    <0.15,7.19,      N/S,,,,,,
29-Nov-16,37.5,7.2,206,830,333,31,14.5,0.69,5.39,1.80,,,,,,
30-Nov-16,21.3,7.3,100,738,122,26,17.4,    <0.15,3.38,      N/S,,,,,,
1-Dec-16,25.5,7.4,136,796,170,32,21.4,    <0.15,5.62,      N/S,,,,,,
2-Dec-16,19.7,7.3,144,766,146,30,20.4,    <0.15,5.38,      N/S,,,,,,
3-Dec-16,25.0,7.3,164,788,178,31,18.5,0.84,5.99,      N/S,,,,,,
4-Dec-16,22.7,7.3,135,732,106,30,18.8,1.14,5.81,      N/S,,,,,,
5-Dec-16,23.4,7.2,193,916,192,28,16.3,1.11,6.42,      N/S,,,,,,
6-Dec-16,25.2,7.3,158,888,162,31,19.0,    <0.15,5.35,2.97,,,,,,
7-Dec-16,21.9,7.3,158,854,172,29,17.6,    <0.15,5.35,      N/S,,,,,,
8-Dec-16,25.6,7.5,139,880,92,32,20.8,1.64,5.80,      N/S,,,,,,
9-Dec-16,21.4,7.2,118,892,248,36,19.5,0.15,6.81,      N/S,,,,,,
10-Dec-16,22.8,7.3,159,842,168,32,20.6,1.07,5.81,      N/S,,,,,,
11-Dec-16,23.1,7.4,157,804,182,38,24.4,    <0.15,6.45,      N/S,,,,,,
12-Dec-16,21.7,7.4,145,1004,260,38,22.9,    <0.15,6.98,      N/S,,,,,,
13-Dec-16,21.6,7.4,123,876,162,34,24.0,    <0.15,6.05,3.72,,,,,,
14-Dec-16,20.0,7.2,201,994,233,40,24.4,    <0.15,7.68,      N/S,,,,,,
15-Dec-16,24.5,7.3,229,860,208,40,23.1,2.09,7.95,      N/S,,,,,,
16-Dec-16,22.3,7.3,246,920,256,34,17.0,4.73,7.82,      N/S,,,,,,
17-Dec-16,21.0,7.2,223,1013,338,52,25.6,    <0.15,9.65,      N/S,,,,,,
18-Dec-16,22.4,7.2,187,942,256,35,15.8,4.66,8.04,      N/S,,,,,,
19-Dec-16,23.3,7.3,232,986,287,47,24.2,    <0.15,8.24,      N/S,,,,,,
20-Dec-16,19.9,7.2,233,940,228,41,23.1,0.56,7.47,4.28,,,,,,
21-Dec-16,22.0,7.2,189,968,296,32,12.6,6.69,8.22,      N/S,,,,,,
22-Dec-16,21.9,7.3,249,996,308,41,22.3,0.27,8.04,      N/S,,,,,,
23-Dec-16,21.9,7.3,237,938,272,42,24.4,    <0.15,6.79,      N/S,,,,,,
24-Dec-16,25.2,7.2,272,1003,280,43,22.7,    <0.15,6.67,      N/S,,,,,,
25-Dec-16,23.5,7.3,230,1037,240,32,16.0,0.83,6.17,      N/S,,,,,,
26-Dec-16,44.4,7.2,156,1144,258,30,16.0,    <0.15,4.73,      N/S,,,,,,
27-Dec-16,34.7,7.4,129,1128,154,21,11.5,0.17,3.42,1.63,,,,,,
28-Dec-16,27.5,7.4,169,1062,240,25,10.3,1.37,4.89,      N/S,,,,,,
29-Dec-16,25.0,7.4,143,1007,180,30,17.6,    <0.15,4.83,      N/S,,,,,,
30-Dec-16,23.8,7.3,125,998,180,32,18.1,    <0.15,5.27,      N/S,,,,,,
31-Dec-16,24.8,7.4,143,890,112,23,13.0,2.91,4.45,      N/S,,,,,,
1-Jan-15,20.3,7.2,138,774,170,29,18.3,3.3,5.7,      N/S,,,,,,
2-Jan-15,20.3,7.2,96,702,54,27,19.0,0.6,4.3,      N/S,,,,,,
3-Jan-15,25.2,7.2,141,782,124,30,17.0,1.2,5.4,      N/S,,,,,,
4-Jan-15,26.3,7.5,128,918,222,26,13.1,3.7,5.3,      N/S,,,,,,
5-Jan-15,22.4,7.3,115,868,148,28,16.4,2.6,4.7,      N/S,,,,,,
6-Jan-15,22.2,7.3,125,880,148,28,15.6,3.8,4.9,2.6,,,,,,
7-Jan-15,21.2,7.3,130,914,150,31,18.6,2.3,5.2,      N/S,,,,,,
8-Jan-15,19.4,7.1,110,820,110,27,17.9,3.2,4.4,      N/S,,,,,,
9-Jan-15,22.3,7.2,140,820,132,27,16.7,2.5,4.3,      N/S,,,,,,
10-Jan-15,22.5,7.3,244,982,280,40,22.4,0.0,6.7,      N/S,,,,,,
11-Jan-15,22.0,7.2,125,870,170,31,18.4,2.1,5.6,      N/S,,,,,,
12-Jan-15,25.0,7.3,138,968,190,33,19.5,1.4,5.7,      N/S,,,,,,
13-Jan-15,20.5,7.3,165,928,172,32,18.7,2.9,5.7,3.3,,,,,,
14-Jan-15,20.1,7.3,158,882,152,31,18.5,2.8,6.0,      N/S,,,,,,
15-Jan-15,19.9,7.3,127,892,160,31,19.7,2.6,6.2,      N/S,,,,,,
16-Jan-15,19.4,7.3,120,998,244,36,20.7,0.0,7.1,      N/S,,,,,,
17-Jan-15,21.5,7.3,212,974,192,33,19.0,0.2,6.5,      N/S,,,,,,
18-Jan-15,23.1,7.3,178,1092,176,30,17.5,2.4,5.6,      N/S,,,,,,
19-Jan-15,23.2,7.3,118,1113,182,29,16.7,2.2,5.5,      N/S,,,,,,
20-Jan-15,22.1,7.3,121,1055,210,31,17.0,2.2,5.6,3.0,,,,,,
21-Jan-15,22.5,7.3,119,1022,188,30,17.1,3.0,5.7,      N/S,,,,,,
22-Jan-15,22.4,7.3,110,950,146,28,16.7,3.6,5.3,      N/S,,,,,,
23-Jan-15,21.7,7.2,152,942,176,29,16.7,2.1,5.3,      N/S,,,,,,
24-Jan-15,21.9,7.3,149,902,126,29,17.3,2.7,4.9,      N/S,,,,,,
25-Jan-15,22.1,7.3,117,954,112,31,18.7,2.2,5.0,      N/S,,,,,,
26-Jan-15,21.2,7.3,120,950,122,30,18.0,3.1,5.0,      N/S,,,,,,
27-Jan-15,21.5,7.2,110,966,120,30,17.4,3.8,4.8,2.6,,,,,,
28-Jan-15,22.4,7.2,113,970,130,29,17.9,3.5,5.1,      N/S,,,,,,
29-Jan-15,22.5,7.4,108,970,144,28,16.6,4.9,6.8,      N/S,,,,,,
30-Jan-15,21.5,7.4,159,904,148,32,19.0,1.4,5.0,      N/S,,,,,,
31-Jan-15,21.0,7.3,99,822,50,29,18.9,2.6,4.2,      N/S,,,,,,
1-Feb-15,20.5,7.3,119,914,140,33,19.3,3.0,5.2,      N/S,,,,,,
2-Feb-15,20.8,7.3,111,906,134,30,18.4,3.6,5.0,      N/S,,,,,,
3-Feb-15,19.4,7.5,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X,,,,,,
4-Feb-15,22.9,7.1,134,1057,186,32,17.9,4.5,5.3,2.3,,,,,,
5-Feb-15,21.6,7.3,115,946,152,29,18.3,4.4,5.8,      N/S,,,,,,
6-Feb-15,21.2,7.2,169,930,144,32,18.3,1.6,5.8,      N/S,,,,,,
7-Feb-15,22.6,7.2,179,906,130,31,18.5,1.6,5.2,      N/S,,,,,,
8-Feb-15,24.5,7.3,134,1184,264,33,16.7,2.6,5.9,      N/S,,,,,,
9-Feb-15,23.8,7.2,112,1071,162,29,16.0,3.4,5.0,      N/S,,,,,,
10-Feb-15,22.4,7.2,114,1011,140,30,16.5,3.3,4.2,2.3,,,,,,
11-Feb-15,21.8,7.2,113,978,126,29,17.0,3.1,4.7,      N/S,,,,,,
12-Feb-15,21.9,7.3,168,1007,158,28,16.9,3.3,5.8,      N/S,,,,,,
13-Feb-15,21.8,7.3,154,964,148,30,16.9,2.3,5.0,      N/S,,,,,,
14-Feb-15,21.4,7.3,160,928,124,28,16.5,2.7,5.0,      N/S,,,,,,
15-Feb-15,21.3,7.2,184,900,142,30,17.9,3.1,5.3,      N/S,,,,,,
16-Feb-15,21.9,7.1,123,944,160,33,17.5,3.1,5.7,      N/S,,,,,,
17-Feb-15,21.5,7.2,128,936,168,32,16.6,3.6,5.6,2.7,,,,,,
18-Feb-15,22.2,7.2,145,896,164,30,16.6,4.3,5.1,      N/S,,,,,,
19-Feb-15,21.1,7.4,120,870,150,29,17.3,3.8,5.7,      N/S,,,,,,
20-Feb-15,20.4,7.4,159,830,128,31,17.7,1.9,4.9,      N/S,,,,,,
21-Feb-15,20.7,7.2,163,864,140,31,17.4,2.1,4.8,      N/S,,,,,,
22-Feb-15,20.5,7.2,177,880,156,34,19.6,2.0,5.2,      N/S,,,,,,
23-Feb-15,21.1,7.1,178,1007,325,37,18.5,3.6,7.3,      N/S,,,,,,
24-Feb-15,19.7,7.3,147,908,198,34,18.7,3.5,6.3,3.2,,,,,,
25-Feb-15,20.5,7.4,172,868,172,32,18.3,3.8,6.5,      N/S,,,,,,
26-Feb-15,19.2,7.3,147,816,116,29,18.5,4.2,6.0,      N/S,,,,,,
27-Feb-15,20.0,7.3,155,894,138,31,18.4,1.7,5.1,      N/S,,,,,,
28-Feb-15,21.2,7.3,204,902,204,32,18.0,2.4,5.8,      N/S,,,,,,
1-Mar-15,20.5,7.2,130,902,166,34,19.6,2.7,5.8,      N/S,,,,,,
2-Mar-15,21.1,7.2,141,900,176,33,18.6,3.5,5.7,      N/S,,,,,,
3-Mar-15,20.5,7.4,146,1014,300,38,14.6,5.3,7.9,2.9,,,,,,
4-Mar-15,19.9,7.4,164,1153,144,31,18.4,3.8,5.5,      N/S,,,,,,
5-Mar-15,20.2,7.3,189,1066,190,32,17.8,3.9,6.5,      N/S,,,,,,
6-Mar-15,19.3,7.4,179,966,156,32,18.9,1.8,5.7,      N/S,,,,,,
7-Mar-15,21.7,7.4,305,1049,262,36,18.0,1.8,7.1,      N/S,,,,,,
8-Mar-15,22.9,7.4,200,1080,180,31,17.5,2.7,5.6,      N/S,,,,,,
9-Mar-15,27.3,7.3,225,1292,283,32,15.3,2.8,6.1,      N/S,,,,,,
10-Mar-15,31.6,7.3,      T/X,1381,282,28,11.4,2.6,5.5,1.8,,,,,,
11-Mar-15,37.6,7.4,147,1334,170,20,9.7,2.8,4.0,      N/S,,,,,,
12-Mar-15,35.4,7.5,128,1243,142,19,9.8,3.1,3.7,      N/S,,,,,,
13-Mar-15,34.1,7.5,118,1198,126,20,9.7,2.2,3.4,      N/S,,,,,,
14-Mar-15,34.4,7.4,130,1164,122,19,9.5,2.1,3.2,      N/S,,,,,,
15-Mar-15,30.4,7.4,129,1193,142,23,11.9,2.5,3.8,      N/S,,,,,,
16-Mar-15,28.8,7.5,138,1162,150,25,12.2,3.1,4.5,      N/S,,,,,,
17-Mar-15,26.4,7.5,147,1140,158,26,12.7,2.5,4.8,2.0,,,,,,
18-Mar-15,24.3,7.5,109,1073,120,25,15.0,2.0,4.7,      N/S,,,,,,
19-Mar-15,23.4,7.4,165,1112,182,27,15.2,2.7,5.3,      N/S,,,,,,
20-Mar-15,27.1,7.4,134,1032,144,27,15.6,1.1,4.8,      N/S,,,,,,
21-Mar-15,23.0,7.4,174,1046,158,28,15.5,1.2,5.0,      N/S,,,,,,
22-Mar-15,22.3,7.4,159,1040,160,29,16.4,2.1,5.2,      N/S,,,,,,
23-Mar-15,21.7,7.4,160,1041,160,27,15.3,2.9,4.7,      N/S,,,,,,
24-Mar-15,24.5,7.5,179,1235,204,28,15.2,2.2,4.4,1.9,,,,,,
25-Mar-15,34.5,7.4,161,1232,208,20,10.4,2.1,3.9,      N/S,,,,,,
26-Mar-15,32.3,7.5,126,1182,128,17,9.8,2.5,3.0,      N/S,,,,,,
27-Mar-15,29.0,7.4,60,1093,50,17,11.0,2.5,2.4,      N/S,,,,,,
28-Mar-15,28.4,7.4,148,1150,154,23,11.4,1.9,3.8,      N/S,,,,,,
29-Mar-15,25.3,7.5,126,1120,134,25,14.0,2.2,4.1,      N/S,,,,,,
30-Mar-15,24.4,7.4,206,1123,218,31,13.8,3.5,5.4,      N/S,,,,,,
31-Mar-15,24.6,7.4,196,1079,218,31,14.0,4.3,5.5,1.9,,,,,,
1-Apr-15,22.4,7.4,121,1012,130,26,15.5,3.2,4.8,      N/S,,,,,,
2-Apr-15,25.5,7.5,210,1121,224,29,14.1,4.1,6.4,      N/S,,,,,,
3-Apr-15,24.6,7.5,340,1100,194,26,14.0,2.2,5.7,      N/S,,,,,,
4-Apr-15,23.6,7.3,230,1101,264,33,15.4,1.3,5.4,      N/S,,,,,,
5-Apr-15,23.9,7.4,238,1100,264,33,15.0,3.4,6.5,      N/S,,,,,,
6-Apr-15,25.2,7.3,239,1117,304,37,16.2,2.9,7.4,      N/S,,,,,,
7-Apr-15,25.6,7.5,221,1104,268,35,17.0,2.9,6.8,3.0,,,,,,
8-Apr-15,25.7,7.4,210,1078,242,29,17.0,3.7,6.0,      N/S,,,,,,
9-Apr-15,42.6,7.3,325,1250,483,35,10.1,3.0,8.1,      N/S,,,,,,
10-Apr-15,49.4,7.3,121,964,150,15,6.0,3.4,3.0,      N/S,,,,,,
11-Apr-15,34.7,7.5,150,1027,152,20,8.7,2.8,4.2,      N/S,,,,,,
12-Apr-15,30.6,7.6,133,1005,132,21,10.7,2.4,4.0,      N/S,,,,,,
13-Apr-15,31.3,7.5,117,1003,116,21,10.5,3.0,3.7,      N/S,,,,,,
14-Apr-15,26.3,7.5,118,1019,118,23,12.2,2.7,4.0,1.8,,,,,,
15-Apr-15,25.8,7.5,66,1014,108,21,12.6,3.2,4.2,      N/S,,,,,,
16-Apr-15,26.4,7.3,124,1052,138,22,12.4,3.5,4.8,      N/S,,,,,,
17-Apr-15,24.9,7.4,120,960,138,23,13.1,2.5,4.8,      N/S,,,,,,
18-Apr-15,23.3,7.3,157,952,154,27,14.7,1.7,5.4,      N/S,,,,,,
19-Apr-15,25.2,7.3,169,964,174,27,14.7,2.7,5.2,      N/S,,,,,,
20-Apr-15,29.3,7.5,165,994,186,26,12.6,2.9,4.9,      N/S,,,,,,
21-Apr-15,25.6,7.5,163,990,176,26,12.3,3.6,5.2,2.3,,,,,,
22-Apr-15,25.9,7.4,159,1000,172,25,13.2,3.9,5.5,      N/S,,,,,,
23-Apr-15,23.6,7.5,146,974,134,26,15.0,3.4,5.4,      N/S,,,,,,
24-Apr-15,22.5,7.4,162,940,156,27,14.7,1.1,5.6,      N/S,,,,,,
25-Apr-15,23.4,7.2,      T/X,980,202,31,16.1,0.5,5.9,      N/S,,,,,,
26-Apr-15,25.0,7.3,145,932,162,26,13.7,3.5,5.2,      N/S,,,,,,
27-Apr-15,21.9,7.4,156,958,154,30,15.9,2.4,5.5,      N/S,,,,,,
28-Apr-15,21.1,7.3,147,932,144,28,16.0,2.6,5.6,2.9,,,,,,
29-Apr-15,22.7,7.3,153,966,162,25,15.9,3.3,5.7,      N/S,,,,,,
30-Apr-15,22.6,7.3,205,1028,234,32,16.0,3.6,7.0,      N/S,,,,,,
1-May-15,21.7,7.5,166,910,158,29,15.7,2.5,6.1,      N/S,,,,,,
2-May-15,21.0,7.3,275,1076,346,41,17.7,0.3,9.0,      N/S,,,,,,
3-May-15,21.5,7.3,194,944,208,34,18.2,1.9,6.7,      N/S,,,,,,
4-May-15,23.7,7.3,192,1007,260,30,14.8,2.4,6.2,      N/S,,,,,,
5-May-15,40.0,7.3,194,996,292,24,9.6,3.0,5.1,1.9,,,,,,
6-May-15,29.2,7.5,110,968,106,18,9.8,3.4,4.0,      N/S,,,,,,
7-May-15,26.8,7.3,      T/X,1010,146,22,12.4,2.3,4.7,      N/S,,,,,,
8-May-15,32.1,7.3,217,1126,380,30,11.6,0.3,6.8,      N/S,,,,,,
9-May-15,51.7,7.4,206,956,276,22,6.5,1.8,4.7,      N/S,,,,,,
10-May-15,36.7,7.4,104,926,142,19,9.6,2.5,3.4,      N/S,,,,,,
11-May-15,29.7,T/X,94,922,100,19,10.8,2.6,3.2,      N/S,,,,,,
12-May-15,29.5,7.5,102,912,100,21,11.1,2.8,3.7,1.8,,,,,,
13-May-15,25.5,7.4,96,956,102,22,13.0,2.7,4.7,      N/S,,,,,,
14-May-15,26.5,7.5,127,1008,160,25,13.4,3.2,4.8,      N/S,,,,,,
15-May-15,24.4,7.5,147,890,152,25,13.5,1.9,5.1,      N/S,,,,,,
16-May-15,24.2,7.3,170,914,178,27,14.1,0.8,5.1,      N/S,,,,,,
17-May-15,24.0,7.3,134,880,160,26,14.1,6.5,4.8,      N/S,,,,,,
18-May-15,23.6,7.4,119,908,142,26,14.3,2.7,5.5,      N/S,,,,,,
19-May-15,22.9,7.1,120,940,156,26,14.6,3.5,5.5,2.8,,,,,,
20-May-15,21.5,7.4,220,1006,225,33,17.6,2.3,7.2,      N/S,,,,,,
21-May-15,22.9,7.4,149,948,158,26,15.5,4.0,6.0,      N/S,,,,,,
22-May-15,21.9,7.4,140,928,148,26,14.9,2.9,5.6,      N/S,,,,,,
23-May-15,21.7,7.3,139,948,158,28,15.4,2.6,5.9,      N/S,,,,,,
24-May-15,21.5,7.2,177,982,190,30,16.3,3.0,6.1,      N/S,,,,,,
25-May-15,22.1,7.3,166,976,158,30,16.7,2.4,5.8,      N/S,,,,,,
26-May-15,22.2,7.3,167,938,200,30,15.6,2.3,5.8,2.9,,,,,,
27-May-15,22.0,7.4,204,988,214,28,15.1,1.8,6.2,      N/S,,,,,,
28-May-15,22.7,7.3,290,1060,337,34,16.5,1.5,7.3,      N/S,,,,,,
29-May-15,20.4,7.4,168,894,148,29,16.7,0.1,5.7,      N/S,,,,,,
30-May-15,22.8,7.2,194,918,184,31,16.7,1.2,6.1,      N/S,,,,,,
31-May-15,20.8,7.4,159,902,144,31,17.6,1.3,5.7,      N/S,,,,,,
1-Jun-15,21.3,7.4,184,918,142,30,17.1,2.1,6.2,      N/S,,,,,,
2-Jun-15,21.0,7.4,203,974,190,33,17.4,2.2,5.9,2.8,,,,,,
3-Jun-15,20.2,7.4,165,930,142,28,17.9,2.1,5.9,      N/S,,,,,,
4-Jun-15,18.6,7.3,163,942,150,31,19.0,1.3,6.5,      N/S,,,,,,
5-Jun-15,18.6,7.4,150,862,138,31,19.1,0.1,6.0,      N/S,,,,,,
6-Jun-15,20.6,7.4,139,924,168,30,16.5,1.0,6.2,      N/S,,,,,,
7-Jun-15,22.6,7.3,184,916,182,30,16.4,2.4,6.2,      N/S,,,,,,
8-Jun-15,20.7,7.3,260,1040,296,39,18.5,0.0,7.9,      N/S,,,,,,
9-Jun-15,21.4,7.3,305,1120,408,39,17.0,1.7,8.0,3.4,,,,,,
10-Jun-15,20.6,7.5,204,966,214,30,16.8,2.1,6.9,      N/S,,,,,,
11-Jun-15,20.1,7.5,209,974,230,32,18.2,2.1,7.0,      N/S,,,,,,
12-Jun-15,23.4,7.3,155,886,222,29,15.6,0.0,6.4,      N/S,,,,,,
13-Jun-15,25.9,7.4,191,860,182,26,13.0,0.1,5.7,      N/S,,,,,,
14-Jun-15,34.3,7.3,129,844,230,23,10.7,1.7,4.8,      N/S,,,,,,
15-Jun-15,43.1,7.3,151,872,202,21,8.5,1.4,4.5,      N/S,,,,,,
16-Jun-15,49.3,7.6,72,812,83,12,5.6,3.3,2.4,1.1,,,,,,
17-Jun-15,34.5,7.3,63,848,104,15,8.8,2.6,3.5,      N/S,,,,,,
18-Jun-15,36.0,7.5,157,954,178,20,8.8,2.8,4.9,      N/S,,,,,,
19-Jun-15,30.1,7.5,198,944,218,25,10.3,2.1,6.3,      N/S,,,,,,
20-Jun-15,28.1,7.5,219,964,218,25,10.8,1.6,5.5,      N/S,,,,,,
21-Jun-15,30.0,7.4,206,940,236,26,10.9,2.4,5.8,      N/S,,,,,,
22-Jun-15,25.4,7.4,216,998,232,29,12.9,2.0,6.1,      N/S,,,,,,
23-Jun-15,23.3,7.5,179,918,200,26,13.2,2.1,5.4,2.4,,,,,,
24-Jun-15,25.0,7.3,229,1007,254,28,13.4,2.2,6.7,      N/S,,,,,,
25-Jun-15,32.8,7.4,214,914,238,27,10.8,1.8,6.5,      N/S,,,,,,
26-Jun-15,27.5,7.5,165,898,184,24,11.4,1.1,5.3,      N/S,,,,,,
27-Jun-15,27.8,7.5,136,870,158,22,11.4,1.6,4.7,      N/S,,,,,,
28-Jun-15,24.6,7.4,142,886,148,25,13.7,1.6,5.4,      N/S,,,,,,
29-Jun-15,30.9,7.4,112,822,160,22,11.3,2.3,4.7,      N/S,,,,,,
30-Jun-15,30.7,7.2,136,842,150,21,10.8,2.5,4.5,2.2,,,,,,
1-Jul-15,25.9,7.4,143,864,146,23,12.4,2.0,5.3,      N/S,,,,,,
2-Jul-15,23.2,7.4,133,910,130,23,13.1,2.7,5.2,      N/S,,,,,,
3-Jul-15,21.8,7.4,128,864,134,26,14.2,0.3,5.2,      N/S,,,,,,
4-Jul-15,20.1,7.4,121,860,138,27,15.3,1.1,5.2,      N/S,,,,,,
5-Jul-15,19.5,7.4,      T/X,870,158,28,15.3,2.6,5.5,      N/S,,,,,,
6-Jul-15,22.8,7.4,228,960,274,35,16.2,2.4,7.2,      N/S,,,,,,
7-Jul-15,41.4,7.5,186,864,256,22,8.5,2.1,4.8,1.7,,,,,,
8-Jul-15,27.7,7.4,152,874,168,22,11.2,2.2,4.9,      N/S,,,,,,
9-Jul-15,24.2,7.4,143,876,158,25,15.2,0.8,5.3,      N/S,,,,,,
10-Jul-15,23.8,7.4,164,914,194,27,14.0,0.5,5.5,      N/S,,,,,,
11-Jul-15,22.3,7.4,234,950,246,33,14.9,0.0,6.6,      N/S,,,,,,
12-Jul-15,21.1,7.4,133,836,138,28,15.5,1.9,5.1,      N/S,,,,,,
13-Jul-15,25.6,7.3,127,890,204,26,13.6,2.4,5.3,      N/S,,,,,,
14-Jul-15,25.1,7.4,148,874,138,24,13.3,2.3,4.7,2.6,,,,,,
15-Jul-15,21.5,7.4,178,930,166,25,15.2,2.5,5.4,      N/S,,,,,,
16-Jul-15,22.3,7.4,179,852,218,28,16.7,1.3,5.8,      N/S,,,,,,
17-Jul-15,34.5,7.4,144,764,183,18,9.0,1.9,3.9,      N/S,,,,,,
18-Jul-15,31.4,7.4,112,770,124,19,9.6,1.8,4.1,      N/S,,,,,,
19-Jul-15,33.1,7.4,112,780,124,18,9.2,2.5,4.1,      N/S,,,,,,
20-Jul-15,27.7,7.4,120,814,140,21,11.5,3.4,4.7,      N/S,,,,,,
21-Jul-15,22.6,7.4,174,892,180,27,14.5,1.7,5.4,2.8,,,,,,
22-Jul-15,22.3,7.4,177,890,174,27,13.5,1.9,6.0,      N/S,,,,,,
23-Jul-15,21.2,7.4,156,836,136,27,15.9,2.0,5.2,      N/S,,,,,,
24-Jul-15,21.2,7.4,149,840,158,29,15.3,0.5,5.9,      N/S,,,,,,
25-Jul-15,20.6,7.3,237,926,244,35,16.2,0.1,7.7,      N/S,,,,,,
26-Jul-15,21.0,7.3,149,840,152,29,15.5,3.0,6.4,      N/S,,,,,,
27-Jul-15,20.5,7.3,204,904,220,35,17.9,0.9,7.3,      N/S,,,,,,
28-Jul-15,20.3,7.2,188,882,202,34,17.9,0.7,6.6,3.7,,,,,,
29-Jul-15,19.8,7.3,164,842,188,31,18.0,1.7,7.2,      N/S,,,,,,
30-Jul-15,19.3,7.3,165,834,172,34,18.1,1.9,7.5,      N/S,,,,,,
31-Jul-15,20.3,7.2,126,804,142,31,17.4,0.1,6.3,      N/S,,,,,,
1-Aug-15,19.4,7.2,162,810,162,31,16.9,0.7,6.2,      N/S,,,,,,
2-Aug-15,20.7,7.3,177,832,174,32,16.8,2.8,6.7,      N/S,,,,,,
3-Aug-15,21.5,7.3,243,960,324,37,17.8,0.7,8.1,      N/S,,,,,,
4-Aug-15,19.5,7.3,156,838,172,30,17.5,2.2,6.0,3.5,,,,,,
5-Aug-15,19.5,7.3,169,820,158,29,18.3,1.7,6.5,      N/S,,,,,,
6-Aug-15,20.3,7.2,191,860,204,31,18.4,2.5,7.1,      N/S,,,,,,
7-Aug-15,20.4,7.2,155,826,150,29,16.4,0.0,6.2,      N/S,,,,,,
8-Aug-15,20.1,7.2,      T/X,836,180,30,17.1,1.3,6.4,      N/S,,,,,,
9-Aug-15,18.7,7.3,233,886,242,38,21.6,1.4,7.5,      N/S,,,,,,
10-Aug-15,20.4,7.3,176,788,164,31,17.2,1.8,6.3,      N/S,,,,,,
11-Aug-15,20.2,7.3,215,842,194,34,17.8,2.1,6.8,3.6,,,,,,
12-Aug-15,19.2,7.2,173,800,166,31,18.9,0.5,6.7,      N/S,,,,,,
13-Aug-15,19.5,7.1,204,816,190,33,18.4,2.4,7.2,      N/S,,,,,,
14-Aug-15,20.5,7.1,189,806,176,31,17.6,0.0,6.3,      N/S,,,,,,
15-Aug-15,22.7,7.3,175,780,174,30,15.9,0.0,6.1,      N/S,,,,,,
16-Aug-15,20.6,7.2,570,1461,917,55,15.1,0.1,12.6,      N/S,,,,,,
17-Aug-15,20.4,7.2,202,836,192,32,17.4,0.0,6.6,      N/S,,,,,,
18-Aug-15,20.2,7.3,181,802,190,32,17.9,1.5,6.3,3.2,,,,,,
19-Aug-15,20.8,7.4,212,834,230,31,15.8,1.7,6.6,      N/S,,,,,,
20-Aug-15,18.4,7.3,181,804,172,31,18.2,1.5,6.7,      N/S,,,,,,
21-Aug-15,17.1,7.3,159,796,168,30,18.8,0.0,6.1,      N/S,,,,,,
22-Aug-15,16.8,7.2,410,1276,633,50,22.2,0.1,10.2,      N/S,,,,,,
23-Aug-15,17.3,7.3,194,796,162,32,19.7,1.9,6.6,      N/S,,,,,,
24-Aug-15,17.1,7.3,191,876,256,33,19.7,1.8,6.4,      N/S,,,,,,
25-Aug-15,16.9,7.2,165,812,160,32,19.6,2.7,6.2,3.5,,,,,,
26-Aug-15,16.1,7.2,238,886,270,36,20.8,2.1,8.0,      N/S,,,,,,
27-Aug-15,15.4,7.3,168,774,158,30,19.2,3.5,6.6,      N/S,,,,,,
28-Aug-15,14.5,7.2,178,804,196,33,20.2,0.9,6.9,      N/S,,,,,,
29-Aug-15,22.0,7.3,163,762,176,27,14.9,2.5,6.1,      N/S,,,,,,
30-Aug-15,17.7,7.4,166,774,176,30,18.0,1.4,5.9,      N/S,,,,,,
31-Aug-15,17.3,7.3,159,760,150,29,18.0,1.7,5.6,      N/S,,,,,,
1-Sep-15,17.6,7.2,156,800,158,31,18.1,2.0,6.2,3.3,,,,,,
2-Sep-15,18.3,7.3,220,890,264,33,18.6,1.5,8.0,      N/S,,,,,,
3-Sep-15,17.8,7.2,165,846,176,29,18.3,2.2,7.2,      N/S,,,,,,
4-Sep-15,16.0,7.3,224,852,200,35,19.3,0.0,7.2,      N/S,,,,,,
5-Sep-15,16.7,7.3,187,778,140,31,19.0,0.0,6.6,      N/S,,,,,,
